first,avgTail
6.672999916190747e-06,4.0969841234434014e-06
7.377000201813644e-06,4.488095234433237e-06
1.2862999938079156e-05,7.696857138066589e-06
6.726999799866462e-06,4.192999998820827e-06
5.825000243930845e-06,3.6269047635118662e-06
1.2807000075554242e-05,7.636523814797992e-06
2.7673999738908606e-05,1.7116809525009198e-05
1.2256999980309047e-05,7.2815238155950315e-06
1.4946999726817012e-05,8.830857142230445e-06
1.6125000001920853e-05,9.779936510948039e-06
2.971399999296409e-05,1.718169841340222e-05
1.3026000033278251e-05,7.614015870901298e-06
1.0889999884966528e-05,6.5883174564020475e-06
2.7625000257103238e-05,1.7143444445479424e-05
1.2295000033191172e-05,7.348222223097562e-06
1.3109000065014698e-05,7.715063489625224e-06
2.65980002041033e-05,1.7569301588890892e-05
1.2258999959158245e-05,7.292476188994774e-06
2.210200000263285e-05,1.3650952380899865e-05
1.2067999705323018e-05,7.275079359902837e-06
5.8689993238658644e-06,3.732904761342243e-06
1.8646999706106726e-05,1.0519999993867093e-05
1.1320000339765102e-05,6.88271429392025e-06
1.428399991709739e-05,8.608031748735812e-06
2.6269000045431312e-05,1.7692222215936498e-05
1.3333000424609054e-05,7.2267777709168425e-06
1.1869000445585698e-05,7.323142863386902e-06
1.51979993461282e-05,8.506412707483544e-06
2.7424000109022018e-05,1.6889587309306657e-05
2.5129999812634196e-05,1.3605000002292125e-05
2.9505000384233426e-05,1.6924380953054105e-05
1.3120000403432641e-05,7.267428574980133e-06
