newData(relu_act),noData(relu_act),newData(leaky_relu_act),noData(leaky_relu_act),newData(tanh_act),noData(tanh_act),newData(sigmoid_act),noData(sigmoid_act),newData(scalar_mult),noData(scalar_mult),newData(small_dense),noData(small_dense),newData(big_dense),noData(big_dense),newData(simple_conv2d),noData(simple_conv2d),newData(strided_conv2d),noData(strided_conv2d),newData(dilated_conv2d),noData(dilated_conv2d),newData(small_conv2d),noData(small_conv2d),newData(big_conv2d),noData(big_conv2d),newData(many_conv2d),noData(many_conv2d),newData(few_conv2d),noData(few_conv2d)
1.5286999996533268e-05,8.41999963085982e-07,9.906000059345388e-06,8.89999910214101e-07,2.1982999896863475e-05,9.070001851796405e-07,1.2026000149489846e-05,2.5850001748040086e-06,1.024300013341417e-05,8.790000265435083e-07,0.0007434029998876213,9.849998150457395e-07,0.00031115900014810904,8.72399982654315e-06,0.0020263920000616054,0.0010963089998767828,0.0002917120000347495,7.409300019389775e-05,0.0013652759998876718,0.0012782500000412256,0.0013488229999438772,0.0008497329999954673,0.0031560079999053414,0.0032293360000039684,0.017360719999942376,0.0041453740000179096,0.0010517780001464416,0.0008204870000554365
3.998000011051772e-06,8.130000423989259e-07,3.800999820668949e-06,8.739998520468362e-07,3.311000000394415e-06,8.770000476943096e-07,4.936999857818591e-06,2.5840001853794092e-06,3.0440000955422875e-06,8.699998943484388e-07,7.59099998504098e-06,1.0430001111672027e-06,1.952499997059931e-05,8.502999889969942e-06,0.0012187449999601085,0.0010786749999169842,0.00011426900005062635,7.08779998603859e-05,0.001402837999876283,0.0011617550001119525,0.0016946299999744951,0.0008551920000172686,0.003321916999993846,0.0026894530001300154,0.013282910999805608,0.0042469049999454,0.001029841999979908,0.0009724160001951532
2.5850001748040086e-06,8.740000794205116e-07,3.0069998047110857e-06,8.819999948173063e-07,2.460999894537963e-06,9.269999736716272e-07,4.269000100975973e-06,2.6109998998435913e-06,2.561000201239949e-06,8.78000037118909e-07,3.186999947502045e-06,9.870000212686136e-07,1.1630000017248676e-05,8.482000112053356e-06,0.0016055379999215802,0.0008709109999927023,9.621799995329638e-05,7.251400006680342e-05,0.0013355640001009306,0.0012024620000374853,0.001184839000188731,0.0008767400001943315,0.0035006980001526244,0.0024049790001754445,0.009579064999797993,0.00459202400020331,0.0010352110000440007,0.000792621999835319
2.3350000901700696e-06,7.539999842265388e-07,2.798999958031345e-06,7.940000159578631e-07,2.3770001007505925e-06,8.669999260746408e-07,4.168000032223063e-06,2.5720000849105418e-06,2.418000121906516e-06,8.870001693139784e-07,2.671999936865177e-06,9.289999525208259e-07,1.1054999959014822e-05,8.397999863518635e-06,0.002049554999985048,0.0008531200001016259,0.00016490300004079472,7.240700006150291e-05,0.0013229230000888492,0.0013169649998872046,0.0010605919999306934,0.002936343999863311,0.003646949000085442,0.003108883000095375,0.0053080640000189305,0.004179163999879165,0.001237432000152694,0.0009525799998755247
2.2009999156580307e-06,8.50999867907376e-07,2.6970001272275113e-06,8.150000212481245e-07,2.2560000161320204e-06,9.010000212583691e-07,4.172999979346059e-06,2.5960000584746012e-06,2.4529999791411683e-06,8.21000185169396e-07,2.603999973871396e-06,9.440000212634914e-07,1.0620000011840602e-05,8.502999889969942e-06,0.002199097999891819,0.0008633180000288121,0.00012372300011520565,7.162900010371231e-05,0.0012707220000720554,0.0011377779999293125,0.005213549000018247,0.0012353560000519792,0.003144855999835272,0.002965803000051892,0.006448647000070196,0.004477592000057484,0.0009879969998110028,0.0007786959999975807
2.2599999738304177e-06,8.220001745939953e-07,2.7769999633164844e-06,8.36000026538386e-07,2.275000042573083e-06,9.479999789618887e-07,4.172999979346059e-06,2.5750000531843398e-06,2.365000000281725e-06,8.879999313649023e-07,2.4080000002868474e-06,9.739999313751468e-07,1.0773999974844628e-05,8.543999911125866e-06,0.0016893839999738702,0.0008316749999721651,0.00010025400001723028,7.282399997166067e-05,0.001250690000006216,0.001153470999952333,0.0012968209998689417,0.00121328800014453,0.003240193999999974,0.00329721499997504,0.007090758000003916,0.00420176900001934,0.001362663000008979,0.0010377719997904933
2.17899992094317e-06,8.069998784776544e-07,2.6760001219372498e-06,8.170000000973232e-07,2.237999979115557e-06,8.81000005392707e-07,4.128999989916338e-06,2.601000005597598e-06,2.305999942109338e-06,8.520000847056508e-07,2.435999931549304e-06,9.450000106880907e-07,1.0618000032991404e-05,8.487000059176353e-06,0.0013692360000732151,0.0008266110000931803,0.00019006799993803725,7.310899991352926e-05,0.0012576920000810787,0.0011222709999856306,0.0012784559999090561,0.0008639420000235987,0.0048221790000297915,0.002812666999943758,0.005425712000032945,0.004591862000097535,0.0011988559999736026,0.0009386760000325012
2.2330000319925603e-06,7.940000159578631e-07,2.651000158948591e-06,8.209999577957205e-07,2.243000153612229e-06,9.090001640288392e-07,4.179000143267331e-06,2.5559997993696015e-06,2.2459998945123516e-06,8.059998890530551e-07,2.4890000531740952e-06,9.729999419505475e-07,1.0679999832063913e-05,8.38999994812184e-06,0.0016975940000065748,0.0008422739999787154,0.00021245100015221396,7.15810001565842e-05,0.0012445179997939704,0.001220768999928623,0.0011022009998669091,0.0008509700001013698,0.003498256000057154,0.003116084999874147,0.006391484000005221,0.004145702000187157,0.0020642409999709344,0.0010415110000394634
2.1749999632447725e-06,8.41999963085982e-07,2.6560001060715877e-06,8.409999736613827e-07,1.4875000033498509e-05,8.990000424091704e-07,4.0469999476044904e-06,2.5689998892630683e-06,2.2169999738252955e-06,8.189999789465219e-07,2.3359998522209935e-06,9.230000159732299e-07,1.059999999597494e-05,8.542000159650343e-06,0.0008995719999802532,0.0008155909999914002,0.00010322600019208039,7.406499980788794e-05,0.0012402590000419877,0.0011756180001611938,0.002225318000000698,0.0008638560000235884,0.003541232000088712,0.00264806000018325,0.00550033100012115,0.00448398300000008,0.0015162779998263431,0.0010021309999501682
2.213000016126898e-06,7.950000053824624e-07,2.6640000214683823e-06,8.350000371137867e-07,2.4050000320130493e-06,3.516000106174033e-06,4.09399990530801e-06,2.538999979151413e-06,2.2199999420990935e-06,8.669999260746408e-07,2.3699999474047218e-06,9.709999631013488e-07,1.0548000091148424e-05,8.489000038025551e-06,0.0018061810001199774,0.0008352039999408589,0.00011578800013012369,7.233299993458786e-05,0.0012443099999472906,0.0011492880000787409,0.0010852379998596007,0.0008197629999813216,0.004924019999862139,0.003099012000120638,0.005542313999967519,0.0042332449997957156,0.0011476679999304906,0.0009597800001301948
