first,avgTail
5.14900011694408e-06,2.548412700730657e-06
5.130999852553941e-06,2.6097619007082863e-06
1.0598000244499417e-05,4.88080952472667e-06
4.860999979428016e-06,2.410190474966796e-06
5.175000296731014e-06,2.5691587296254483e-06
9.746999694471015e-06,4.8384761915561585e-06
2.1631999970850302e-05,1.0846047622354013e-05
9.553000381856691e-06,4.724761902974616e-06
1.58210000336112e-05,7.375206346224e-06
1.3923000096838223e-05,6.279968255555668e-06
2.171100004488835e-05,1.0875460312880542e-05
1.0511999789741822e-05,5.19347619075912e-06
8.790999800112331e-06,4.253904766272402e-06
2.1641000330419047e-05,1.1042190476834389e-05
9.868999768514186e-06,4.74079365270131e-06
1.0122000276169274e-05,4.863587296962838e-06
2.4605999897175934e-05,1.0999904762207907e-05
9.525000223220559e-06,4.737984122512567e-06
1.7954000213649124e-05,8.983539691331633e-06
9.221000254910905e-06,4.638761902964371e-06
4.768000508192927e-06,2.4906666589058226e-06
1.3939999917056412e-05,6.762412701232639e-06
9.190999662678223e-06,4.461587296747085e-06
1.1922999874514062e-05,5.545761904079608e-06
2.1406999621831346e-05,1.0988301587603351e-05
9.822999345487915e-06,4.637317466577293e-06
1.0345999726268928e-05,4.550507944100351e-06
1.2925000191899016e-05,5.501206350533129e-06
2.244300048914738e-05,1.0980968259640836e-05
1.882600008684676e-05,8.886476193549156e-06
2.34949993682676e-05,1.0901222219492036e-05
9.483000212640036e-06,4.695634916494046e-06
