first,avgTail
7.62400304665789e-06,4.588600780966157e-06
1.2088999937986955e-05,6.178773000370255e-06
1.0032003046944737e-05,5.874747552860204e-06
1.497699850006029e-05,7.1750430579556045e-06
7.355996785918251e-06,4.164393343771361e-06
1.0851999832084402e-05,6.481814093399363e-06
1.0315998224541545e-05,5.273968685582852e-06
9.289000445278361e-06,5.472101761076468e-06
6.725000275764614e-06,4.099884539819368e-06
1.0389998351456597e-05,5.269035223234489e-06
1.1916999937966466e-05,7.1100861062737705e-06
8.475999493384734e-06,5.042847358018393e-06
7.914000889286399e-06,4.6371859096222125e-06
6.322999979602173e-06,3.926645790216734e-06
6.952999683562666e-06,4.200696670213339e-06
1.2223001249367371e-05,6.6060489267425215e-06
8.718001481611282e-06,5.07573776910539e-06
7.195005309768021e-06,4.204722111561717e-06
1.001099735731259e-05,5.220892361739793e-06
6.382993888109922e-06,3.8709863091986666e-06
1.2441996659617871e-05,7.0528767110165686e-06
8.331997378263623e-06,4.7395909977384244e-06
5.987996701151133e-06,3.760594910729691e-06
8.384995453525335e-06,4.749540108007264e-06
8.604998583905399e-06,4.7657182068817335e-06
9.912997484207153e-06,5.740181998798073e-06
9.603005310054868e-06,5.419158504673493e-06
9.174000297207385e-06,4.8006947176009706e-06
7.415001164190471e-06,4.48189825029158e-06
9.841998689807951e-06,5.69313503036352e-06
7.735994586255401e-06,4.7317593050446296e-06
9.693001629784703e-06,5.5070626235033025e-06
