time,time
0.0018440949997966527,0.0018401409997750307
6.118799956311705e-05,6.130600013420917e-05
5.329299983714009e-05,5.283799964672653e-05
5.2148999202472623e-05,5.105399941385258e-05
5.088899979455164e-05,5.007799973100191e-05
5.1328000154171605e-05,5.026300004828954e-05
5.0132000069424976e-05,5.019099990022369e-05
5.015900023863651e-05,4.936500045005232e-05
5.012099973100703e-05,4.9016000048140995e-05
4.976299987902166e-05,4.949000049236929e-05
4.951699975208612e-05,4.964199979440309e-05
4.9760999900172465e-05,4.9837000005936716e-05
4.922500011161901e-05,4.9960000069404487e-05
4.988199998479104e-05,4.9498999942443334e-05
4.8689999857742805e-05,4.94800005981233e-05
5.052599954069592e-05,4.975000047124922e-05
4.920799983665347e-05,4.974900002707727e-05
4.9957999181060586e-05,5.0055999963660724e-05
4.987700049241539e-05,4.926099973090459e-05
4.9607000619289465e-05,4.958299996360438e-05
4.95449994559749e-05,4.94759997309302e-05
4.977000025974121e-05,4.947700017510215e-05
4.9201999900105875e-05,4.969600013282616e-05
4.9840000428957865e-05,5.004700051358668e-05
4.934699973091483e-05,4.979599998478079e-05
4.9575000048207585e-05,4.967899985786062e-05
5.005300045013428e-05,4.9373000365449116e-05
4.981099937140243e-05,4.967600034433417e-05
4.9964000027102884e-05,4.9838999984785914e-05
5.0333000217506196e-05,4.984099996363511e-05
5.0706999900285155e-05,4.984099996363511e-05
4.995099970983574e-05,5.014299949834822e-05
5.016100021748571e-05,4.9899999794433825e-05
5.0181000005977694e-05,4.980399990017759e-05
4.9729000238585286e-05,4.952400013280567e-05
5.0113999350287486e-05,4.959800025972072e-05
5.0582999392645434e-05,4.9293999836663716e-05
5.053099994256627e-05,4.9250000301981345e-05
5.029099975217832e-05,4.956599968863884e-05
4.994300070393365e-05,4.936400000588037e-05
4.9774999752116855e-05,4.954999985784525e-05
4.926699966745218e-05,4.920799983665347e-05
4.9603999286773615e-05,4.918899958283873e-05
4.948700006934814e-05,4.910600000584964e-05
4.905100013274932e-05,4.918899958283873e-05
4.9620000027061906e-05,4.933400032314239e-05
4.974400053470163e-05,4.9123999815492425e-05
4.9513000703882426e-05,4.9435000619268976e-05
4.935000015393598e-05,6.430200028262334e-05
4.94759997309302e-05,5.050300023867749e-05
4.89269996251096e-05,5.04769996041432e-05
4.97050004923949e-05,6.154299990157597e-05
4.955199983669445e-05,6.593800026166718e-05
4.900899966742145e-05,5.07949998791446e-05
4.8894000428845175e-05,4.9063000005844515e-05
4.903899935015943e-05,4.9059999582823366e-05
4.876200000580866e-05,4.9423000746173784e-05
4.905300011159852e-05,4.905399964627577e-05
4.912699932901887e-05,4.9279999984719325e-05
4.911499945592368e-05,4.90889997308841e-05
4.907299990009051e-05,4.8614000661473256e-05
4.881000040768413e-05,4.87020006403327e-05
4.890600030194037e-05,4.7974999688449316e-05
4.9464999392512254e-05,4.9293999836663716e-05
4.9296000725007616e-05,4.896599966741633e-05
4.922900006931741e-05,4.913000066153472e-05
4.8892000449995976e-05,4.942299983667908e-05
4.912300028081518e-05,4.875800004811026e-05
4.9418000344303437e-05,4.920700030197622e-05
4.97049995829002e-05,4.932999945594929e-05
4.930400064040441e-05,4.9282000873063225e-05
4.944000011164462e-05,4.9668999963614624e-05
4.914800047117751e-05,4.951499977323692e-05
4.959199941367842e-05,4.95550002597156e-05
4.911599990009563e-05,4.953200004820246e-05
4.9251000746153295e-05,4.9543000386620406e-05
5.527399935090216e-05,4.979999994247919e-05
7.81539993113256e-05,4.967899985786062e-05
4.9621000471233856e-05,4.931699913868215e-05
4.997199994249968e-05,4.957200053468114e-05
4.981700021744473e-05,5.0102000386686996e-05
4.939399968861835e-05,4.930300019623246e-05
4.930599970975891e-05,4.9248000323132146e-05
4.963100036547985e-05,4.9233999561693054e-05
4.9188000048161484e-05,4.927200006932253e-05
4.9125000259664375e-05,4.9073999434767757e-05
4.96239999847603e-05,4.894999983662274e-05
4.891799926554086e-05,4.9188000048161484e-05
4.938300025969511e-05,4.885900034423685e-05
5.004700051358668e-05,4.964900017512264e-05
4.9312000555801205e-05,4.9713999942468945e-05
4.9451000450062566e-05,4.897700000583427e-05
4.966000051354058e-05,4.902799992123619e-05
4.929699935019016e-05,4.899100076727336e-05
4.975400042894762e-05,4.919100047118263e-05
4.930099930788856e-05,4.919699949823553e-05
4.91620003231219e-05,4.920699939248152e-05
4.936900040775072e-05,4.924999939248664e-05
4.992600042896811e-05,4.9656000555842184e-05
4.972299939254299e-05,4.937900030199671e-05
4.919299954053713e-05,5.0005999582936056e-05
4.9761000809667166e-05,4.9248999857809395e-05
4.9096000111603644e-05,4.959600028087152e-05
4.9293999836663716e-05,4.872399949817918e-05
4.983300004823832e-05,4.8982999942381866e-05
4.933499985781964e-05,4.862199966737535e-05
4.952799918100936e-05,4.901300053461455e-05
5.1435999921523035e-05,5.136500021762913e-05
4.94699997943826e-05,4.9609000598138664e-05
4.937799985782476e-05,4.949799949827138e-05
4.911199994239723e-05,4.903799981548218e-05
4.9279999984719325e-05,4.958299996360438e-05
4.927600002702093e-05,4.935400011163438e-05
4.965700009051943e-05,4.919599996355828e-05
4.954100040777121e-05,4.976800028089201e-05
4.898099996353267e-05,4.993699985789135e-05
4.872899990004953e-05,4.949200047121849e-05
4.9047000175050925e-05,4.900899966742145e-05
4.9167999350174796e-05,4.843400074605597e-05
4.953600000590086e-05,4.828100009035552e-05
4.935099968861323e-05,4.861100023845211e-05
4.981900019629393e-05,4.905399964627577e-05
4.892600009043235e-05,4.873099987889873e-05
4.9549000323168e-05,4.897300004813587e-05
4.9311000111629255e-05,4.9174000196217094e-05
4.899099985777866e-05,4.868399992119521e-05
4.8674999561626464e-05,4.880199958279263e-05
5.0505999752203934e-05,4.9684000259730965e-05
4.908600021735765e-05,4.8833000619197264e-05
4.971400085196365e-05,4.891600019618636e-05
4.9217000196222216e-05,4.896100017504068e-05
4.936300047120312e-05,4.858900047111092e-05
4.9311000111629255e-05,6.736300019838382e-05
4.989000080968253e-05,6.18860003669397e-05
4.972199985786574e-05,4.897799954051152e-05
5.0149000344390515e-05,4.907600032311166e-05
4.9686000238580164e-05,4.9097000555775594e-05
4.920799983665347e-05,4.8801000048115384e-05
4.899699979432626e-05,4.895999973086873e-05
4.908800019620685e-05,4.870900011155754e-05
4.909800009045284e-05,4.857699968852103e-05
4.859399996348657e-05,4.915400040772511e-05
4.899099985777866e-05,4.825899941351963e-05
4.928099951939657e-05,4.8844999582797755e-05
4.91619994136272e-05,4.859300042880932e-05
4.930199975206051e-05,4.89289996039588e-05
4.961699960404076e-05,4.879100015386939e-05
4.978900051355595e-05,4.86979997731396e-05
4.940899998473469e-05,4.877999981545145e-05
5.039200004830491e-05,4.9935000788536854e-05
