time,time,time
0.0018531979994804715,0.0018036800001937081,0.0018141059999834397
6.146699979581172e-05,6.257400036702165e-05,6.346600002871128e-05
5.283999962557573e-05,5.403199975262396e-05,5.5081000027712435e-05
5.167800009076018e-05,5.199000042921398e-05,5.394500021793647e-05
5.068700011179317e-05,5.152700032340363e-05,5.296000017551705e-05
5.052500000601867e-05,5.1484000323398504e-05,5.2446000154304784e-05
4.997399992134888e-05,5.113200040796073e-05,5.201600015425356e-05
5.0599000132933725e-05,5.085599968879251e-05,5.161700028111227e-05
4.9747000048228074e-05,5.087299996375805e-05,5.1901000006182585e-05
5.0224000005982816e-05,5.083000087324763e-05,5.183499979466433e-05
5.0194999857922085e-05,5.0566000027174596e-05,5.195099947741255e-05
5.0397999984852504e-05,5.045499983680202e-05,5.1944999540864956e-05
4.952700055582682e-05,5.043300006946083e-05,5.1875000281143e-05
4.9324999963573646e-05,5.015399983676616e-05,5.203599994274555e-05
4.921999970974866e-05,5.0054999519488774e-05,5.183099983696593e-05
4.9324999963573646e-05,5.015799979446456e-05,6.108700017648516e-05
4.924199947708985e-05,5.031399996369146e-05,5.220100047154119e-05
4.941400038660504e-05,5.0055999963660724e-05,5.223799962550402e-05
4.896500013273908e-05,4.9699000555847306e-05,5.207000049267663e-05
4.9360000048181973e-05,5.021499964641407e-05,5.204399985814234e-05
4.865499977313448e-05,5.0012000428978354e-05,5.1776999498542864e-05
4.902100045001134e-05,4.958699992130278e-05,5.2630000027420465e-05
4.9073999434767757e-05,4.9917000069399364e-05,5.232799958321266e-05
4.920900028082542e-05,5.0333999752183445e-05,5.21909996678005e-05
4.912400072498713e-05,5.0241000280948356e-05,5.170599979464896e-05
4.8752999646239914e-05,4.997100040782243e-05,5.1590000111900736e-05
4.952300059812842e-05,4.9854999815579504e-05,5.1686000006156974e-05
4.9418999878980685e-05,4.963500032317825e-05,5.189200055610854e-05
4.894500034424709e-05,5.013699956180062e-05,5.2182000217726454e-05
4.99379993925686e-05,5.0257000111741945e-05,5.2053999752388336e-05
4.97049995829002e-05,5.04790004924871e-05,5.164899994269945e-05
