time,time,time
0.0018288729997948394,0.0018057849993056152,0.001857514000221272
6.314999973255908e-05,6.297300024016295e-05,6.500299969047774e-05
5.4940000154601876e-05,5.3758999456476886e-05,5.623400011245394e-05
5.314699956215918e-05,5.158700059837429e-05,5.45940001757117e-05
5.270000019663712e-05,5.128900011186488e-05,5.363500076782657e-05
5.217099987930851e-05,5.158200019650394e-05,5.3572999604512006e-05
5.152299945621053e-05,5.0988000111829024e-05,5.362800038710702e-05
5.130400040798122e-05,5.142400004842784e-05,5.277900072542252e-05
6.194100024004001e-05,5.076899924461031e-05,5.2598999900510535e-05
4.997999985789647e-05,5.111799964652164e-05,5.2579999646695796e-05
4.967400036548497e-05,5.0705999456113204e-05,5.281699941406259e-05
4.9170999773195945e-05,7.35989997338038e-05,5.206599962548353e-05
4.932799947710009e-05,6.410399964806857e-05,5.194000004848931e-05
4.936200002703117e-05,5.025699920224724e-05,5.214100019657053e-05
4.8982999942381866e-05,4.9991999730991665e-05,5.201600015425356e-05
4.9603999286773615e-05,5.064899960416369e-05,5.170799977349816e-05
4.9473999752081e-05,4.9571999625186436e-05,5.2199000492691994e-05
4.967199947714107e-05,5.048000002716435e-05,5.229999987932388e-05
5.041700023866724e-05,5.073099964647554e-05,5.213599979470018e-05
4.956799966748804e-05,5.0319000365561806e-05,5.145900013303617e-05
5.710599998565158e-05,5.007900017517386e-05,5.2043000323465094e-05
7.843599996704143e-05,5.052500000601867e-05,5.2735999815922696e-05
4.983000053471187e-05,5.029800013289787e-05,5.1992999942740425e-05
4.964199979440309e-05,5.020600019634003e-05,5.170799977349816e-05
5.006599985790672e-05,4.982799964636797e-05,5.169199994270457e-05
4.948700006934814e-05,5.007899926567916e-05,5.2198000048520043e-05
4.946300032315776e-05,5.011199937143829e-05,5.16420004714746e-05
4.9186000069312286e-05,5.014100042899372e-05,5.17190001119161e-05
4.958299996360438e-05,5.000400051358156e-05,5.201699968893081e-05
4.9530000069353264e-05,5.022200002713362e-05,5.2489000154309906e-05
4.963300034432905e-05,4.953099960403051e-05,5.21889996889513e-05
4.9263999244431034e-05,5.040100040787365e-05,5.198599956202088e-05
4.8953000259643886e-05,5.067099937150488e-05,5.2152000534988474e-05
4.885500038653845e-05,5.027699990023393e-05,5.253099971014308e-05
4.853400059801061e-05,4.979599998478079e-05,5.185999998502666e-05
4.875900049228221e-05,4.999000066163717e-05,5.195499943511095e-05
4.8814999900059775e-05,5.0005999582936056e-05,5.217199941398576e-05
4.88519999635173e-05,4.965599964634748e-05,5.1791999794659205e-05
4.904600064037368e-05,4.9760999900172465e-05,5.217200032348046e-05
4.902599994238699e-05,4.986000021744985e-05,5.154700011189561e-05
4.914600049232831e-05,4.981299935025163e-05,5.167099971004063e-05
4.850799996347632e-05,4.986600015399745e-05,5.209200026001781e-05
4.892599918093765e-05,4.959499983669957e-05,5.153799975232687e-05
4.885300040768925e-05,5.0352000471320935e-05,5.159800002729753e-05
4.905900004814612e-05,4.969499968865421e-05,5.161200078873662e-05
4.9107999984698836e-05,4.967399945599027e-05,5.166400023881579e-05
4.9016999582818244e-05,4.957200053468114e-05,5.165599941392429e-05
4.918000013276469e-05,5.008400057704421e-05,5.1902000450354535e-05
4.935299966746243e-05,4.9792000027082395e-05,5.181899996387074e-05
4.8939000407699496e-05,4.9917000069399364e-05,5.191500076762168e-05
4.903799981548218e-05,4.990799970983062e-05,5.1435999921523035e-05
4.953500047122361e-05,4.9866999688674696e-05,5.1730999985011294e-05
4.944800002704142e-05,4.9484000555821694e-05,5.1232999794592615e-05
4.9480999223305844e-05,5.058200076746289e-05,5.157799932931084e-05
4.944500051351497e-05,5.0382000154058915e-05,5.118999979458749e-05
4.949799949827138e-05,5.020299977331888e-05,5.166100072528934e-05
4.8891000005824026e-05,5.037299979449017e-05,5.1679999160114676e-05
4.944800002704142e-05,5.018499996367609e-05,5.1637999604281504e-05
4.915000045002671e-05,5.0579999879118986e-05,5.119599973113509e-05
4.942199939250713e-05,5.1090999477310106e-05,5.183499979466433e-05
4.93930001539411e-05,5.038899962528376e-05,9.451500045543071e-05
4.9203000344277825e-05,6.456799928855617e-05,5.236099968897179e-05
4.8891000005824026e-05,6.25709999440005e-05,5.1466000513755716e-05
4.87709994558827e-05,6.557800043083262e-05,5.165900074644014e-05
4.893400000582915e-05,5.166400023881579e-05,5.165800030226819e-05
4.914300006930716e-05,5.2336000408104155e-05,5.2243000027374364e-05
4.8799000069266185e-05,6.25060001766542e-05,5.2458000027399976e-05
4.896199970971793e-05,5.0337000175204594e-05,5.228600002737949e-05
4.943100066157058e-05,5.015500028093811e-05,5.2011000661877915e-05
4.950899983668933e-05,5.012299970985623e-05,5.235800017544534e-05
4.938000074616866e-05,4.9995000154012814e-05,5.245499960437883e-05
4.893000004813075e-05,5.017800049245125e-05,5.268300083116628e-05
4.958600038662553e-05,5.043199962528888e-05,5.313299971021479e-05
4.9932000365515705e-05,5.0284999815630727e-05,5.36659999852418e-05
4.9391000175091904e-05,5.104200045025209e-05,5.269799930829322e-05
